
graph nodes 213709, edges 458006
out-degree 124, number of nodes 2
out-degree 125, number of nodes 2
out-degree 126, number of nodes 2
out-degree 127, number of nodes 1
out-degree 130, number of nodes 2
out-degree 132, number of nodes 1
out-degree 138, number of nodes 2
out-degree 139, number of nodes 1
out-degree 140, number of nodes 1
out-degree 143, number of nodes 1
out-degree 145, number of nodes 1
out-degree 150, number of nodes 1
out-degree 164, number of nodes 1
out-degree 165, number of nodes 1
out-degree 168, number of nodes 1
out-degree 178, number of nodes 1
out-degree 182, number of nodes 1
out-degree 186, number of nodes 1
out-degree 189, number of nodes 1
out-degree 198, number of nodes 1
out-degree 205, number of nodes 1
out-degree 208, number of nodes 1
out-degree 209, number of nodes 1
out-degree 255, number of nodes 1
out-degree 274, number of nodes 1
out-degree 290, number of nodes 2
out-degree 341, number of nodes 1

top 10 users by InDegree
id  118068, InDegree 2406
id     476, InDegree 2332
id 1491895, InDegree 1982
id  548225, InDegree 1792
id  367456, InDegree 1488
id  250259, InDegree 1411
id  324584, InDegree 1407
id  187606, InDegree 1331
id  285587, InDegree 1219
id 1415724, InDegree 1218

top 10 users by OutDegree
id  143030, InDegree 341
id  376947, InDegree 290
id  807325, InDegree 290
id  188962, InDegree 274
id  413225, InDegree 255
id  642022, InDegree 209
id  719427, InDegree 208
id   51649, InDegree 205
id  583916, InDegree 198
id  267304, InDegree 189

top 10 experts by PageRank
id     476, pagerank 0.005229
id  127724, pagerank 0.003880
id  283366, pagerank 0.003392
id  367456, pagerank 0.003020
id  324584, pagerank 0.002767
id  229088, pagerank 0.002595
id    4833, pagerank 0.002585
id  107152, pagerank 0.002498
id 2153758, pagerank 0.002228
id  135594, pagerank 0.002194

top 10 experts by Hits
id  118068, authority rank 0.407477
id     476, authority rank 0.404594
id  187606, authority rank 0.233471
id  367456, authority rank 0.194231
id  208809, authority rank 0.160362
id  285587, authority rank 0.156056
id  541091, authority rank 0.155135
id  138475, authority rank 0.148726
id   50079, authority rank 0.142296
id  324584, authority rank 0.139203

top 10 learners by Hits
id  376947, hub rank 0.091256
id  807325, hub rank 0.089120
id  413225, hub rank 0.086301
id  143030, hub rank 0.084599
id  237681, hub rank 0.068370
id  267304, hub rank 0.067830
id  533617, hub rank 0.062867
id  188962, hub rank 0.062170
id  642022, hub rank 0.058285
id  535967, hub rank 0.057154
